station,lat,lon,H,mu24,sigma24,I_0p25h_2y_mmhr,I_0p25h_5y_mmhr,I_0p25h_10y_mmhr,I_0p25h_25y_mmhr,I_0p25h_50y_mmhr,I_0p25h_100y_mmhr,I_0p25h_200y_mmhr,I_0p25h_500y_mmhr,I_0p5h_2y_mmhr,I_0p5h_5y_mmhr,I_0p5h_10y_mmhr,I_0p5h_25y_mmhr,I_0p5h_50y_mmhr,I_0p5h_100y_mmhr,I_0p5h_200y_mmhr,I_0p5h_500y_mmhr,I_0p75h_2y_mmhr,I_0p75h_5y_mmhr,I_0p75h_10y_mmhr,I_0p75h_25y_mmhr,I_0p75h_50y_mmhr,I_0p75h_100y_mmhr,I_0p75h_200y_mmhr,I_0p75h_500y_mmhr,I_1h_2y_mmhr,I_1h_5y_mmhr,I_1h_10y_mmhr,I_1h_25y_mmhr,I_1h_50y_mmhr,I_1h_100y_mmhr,I_1h_200y_mmhr,I_1h_500y_mmhr,I_2h_2y_mmhr,I_2h_5y_mmhr,I_2h_10y_mmhr,I_2h_25y_mmhr,I_2h_50y_mmhr,I_2h_100y_mmhr,I_2h_200y_mmhr,I_2h_500y_mmhr,I_3h_2y_mmhr,I_3h_5y_mmhr,I_3h_10y_mmhr,I_3h_25y_mmhr,I_3h_50y_mmhr,I_3h_100y_mmhr,I_3h_200y_mmhr,I_3h_500y_mmhr,I_6h_2y_mmhr,I_6h_5y_mmhr,I_6h_10y_mmhr,I_6h_25y_mmhr,I_6h_50y_mmhr,I_6h_100y_mmhr,I_6h_200y_mmhr,I_6h_500y_mmhr,I_12h_2y_mmhr,I_12h_5y_mmhr,I_12h_10y_mmhr,I_12h_25y_mmhr,I_12h_50y_mmhr,I_12h_100y_mmhr,I_12h_200y_mmhr,I_12h_500y_mmhr,I_24h_2y_mmhr,I_24h_5y_mmhr,I_24h_10y_mmhr,I_24h_25y_mmhr,I_24h_50y_mmhr,I_24h_100y_mmhr,I_24h_200y_mmhr,I_24h_500y_mmhr,I_0p25h_1000y_mmhr,I_0p5h_1000y_mmhr,I_0p75h_1000y_mmhr,I_12h_1000y_mmhr,I_1h_1000y_mmhr,I_24h_1000y_mmhr,I_2h_1000y_mmhr,I_3h_1000y_mmhr,I_6h_1000y_mmhr
Narathiwat,6.416666666666667,101.81666666666666,0.554,5.996,2.518,86.73892435582113,122.51787246074844,146.20664933520928,176.13748171382062,198.34188299362947,220.38233045983185,242.34235603552096,271.31443990829774,59.08039830989542,83.45047807335658,99.5855913873766,119.97234983299708,135.09641185689767,150.10880018085055,165.0664108215471,184.8001378395313,47.19422482118898,66.66137562193872,79.55032334471802,95.8355429603877,107.91684917673425,119.90894892439216,131.85729151446924,147.62086075382436,40.24137364370768,56.84054212500993,67.8306360009392,81.71664874734985,92.01808625157967,102.2434595583036,112.43152219546008,125.87273628728558,27.40956728555538,38.71574260155796,46.20141444352688,55.65958065998596,62.67618866422792,69.64098713636945,76.58037222881293,85.73557317476904,21.89513472710196,30.92666117234314,36.90631753813907,44.46162920808394,50.06659100772174,55.63016664924661,61.17344173780896,68.48674063366707,14.913411600765308,21.065046333314232,25.13796379766156,30.28410581095928,34.10180793366408,37.89132074316275,41.66700625697102,46.64830634727608,10.157957388521602,14.348014308815731,17.122196578933085,20.627383231440984,23.22773092670032,25.808878062756627,28.38060702648713,31.773515061973857,6.918879534024631,9.77284888666046,11.662424930172737,14.049909270319478,15.821081540682428,17.579175753023424,19.330854974903197,21.641863090972222,293.2108544286169,199.71442114459293,159.53459287956215,34.33779456290913,136.03128741889793,23.388468267578713,92.65485712444166,74.01395865629505,50.41305492754341
Pattani,6.783333333333333,101.15,0.647,4.273,1.639,93.40918618266966,129.01345084704985,152.5865720841608,182.37127325838335,204.46726606292148,226.40010552501752,248.25291574013164,277.0835493031935,59.65174891387479,82.38887727156511,97.44283466717468,116.46354974379476,130.57420276031394,144.5806649299203,158.53601987183495,176.94746080836646,45.88726110757723,63.37785551231489,74.95815091508732,89.58988485525826,100.4445409409046,111.21904794987908,121.95424059264846,136.11728883522645,38.09401723643477,52.614103827951645,62.227664585958514,74.3744240887557,83.38558418072081,92.33020728105627,101.24219295419068,112.99986579956632,24.327101478700413,33.59972866839733,39.73901470589095,47.49601888919591,53.25060771708103,58.96270556436372,64.65396092610344,72.16249169321934,18.71368531298846,25.846677601633225,30.569339158854508,36.53643455593667,40.96316679631348,45.35721274069524,49.73522554952515,55.51118213283303,11.950688183500771,16.50586613114663,19.5217902915997,23.332418463392116,26.15936012623365,28.9654280955842,31.76125719426981,35.449822804627814,7.631791689910474,10.540759665068824,12.46674958227906,14.900242948374482,16.705547342486437,18.49752165233243,20.28295734893248,22.63850072355457,4.873714676833347,6.731401638298847,7.961352049465098,9.515397654508986,10.66827746035683,11.812644582686811,12.952836101614906,14.457102305839348,298.8730590309839,190.86239162359425,146.82138511468548,24.418764593347568,121.88603634729677,15.593991060588369,77.83726133827841,59.876513261751725,38.23755329527726
Songkhla,7.182111111111111,100.60769444444443,0.656,4.731,3.005,116.47027343302987,184.4857874576425,229.5179759670896,286.4162655267934,328.6266670798503,370.5253936536418,412.27123881219296,467.3469545988103,73.91616357765538,117.08121945221166,145.66024235661004,181.76991355783835,208.55813044708847,235.14854734779743,261.64194028381735,296.59494157114466,56.65308342675181,89.73696377468814,111.64137128843764,139.31764824951873,159.84949152742644,180.22973089747083,200.53560619746787,227.3253528794091,46.909817217697736,74.30389157519394,92.44115243691697,115.3576296166504,132.358381509605,149.23360251920442,166.04724868199082,188.22966213849952,29.77063263146715,47.15588314718296,58.66643172914871,73.21004037633517,83.99932008542186,94.708933446739,105.3794692278707,119.4572150188709,22.817717431529974,36.14265206273652,44.96491822941452,56.11187491838637,64.38132416856669,72.58971310354612,80.76815100612333,91.5580468577965,14.480932210633798,22.937408003387556,28.53633080042852,35.61058459694636,40.858670185282456,46.06800473343071,51.258331294861776,58.105981628719086,9.190112828691946,14.55689208972874,18.110166939407076,22.59973913152466,25.930360253832223,29.23638859258308,32.530353789262946,36.87611539246738,5.832371326347901,9.238319660212344,11.493353818573896,14.342595455643382,16.45632566709718,18.55444842646362,20.64491548831775,23.402889828582826,508.9718756145961,323.0115917602501,247.57240865965684,40.16053904276833,204.99460463410003,25.48730148692377,130.0968417266019,99.7127944844008,63.281273501363046
Trang,7.516666666666667,99.61666666666666,0.682,3.549,1.25,90.10390673388994,121.96147139754837,143.05395122305737,169.70435539766797,189.47514763881583,209.09995545349307,228.65315564097324,254.44989043348696,56.1618188716596,76.01865794986594,89.16561322021741,105.77682605620922,118.0999726659991,130.33212709559706,142.51964844840347,158.59876864877626,42.59385281642756,57.65353745786295,67.62435907689145,80.22251862466963,89.5685530565694,98.84557783727897,108.0887523128916,120.28336589542864,35.00569523903627,47.382474893746505,55.57697996429721,65.93075884414982,73.61178348464541,81.23609264489252,88.83258198172338,98.85470720406217,21.81907074570635,29.5335248951271,34.64116479884803,41.0946813572903,45.88226860233943,50.634505054682734,55.36940139447843,61.61619803014949,16.547866621941083,22.39860883793649,26.272309274803632,31.166740045766044,34.797708389712106,38.40186623336264,41.99287311045775,46.73052480727974,10.314295146808384,13.961066263736187,16.375546059167462,19.426247681356724,21.689432418325843,23.9359061544512,26.174182885269623,29.127164016928493,6.428906324058588,8.70194093886365,10.206887637132512,12.108391779931567,13.519036177917004,14.91926459909776,16.314383821975966,18.15497872467485,4.00714115072708,5.423924983449394,6.361959159140557,7.5471678268067315,8.426423322419792,9.299186533470724,10.168765178168782,11.316009080109326,273.9464513563407,170.75098671411956,129.4997658993388,19.546056740687046,106.42919198073633,12.183068838154645,66.33737891445978,50.3111297048095,31.35895718767242
Kho Lanta,7.533333333333333,99.05,0.695,3.55,1.574,98.46945649177222,141.0368260965599,169.22012868397317,204.82980621565656,231.2470992383231,257.46933111605506,283.5958824744002,318.06490595761323,60.82550086884734,87.1197617404599,104.52885037659884,126.52528001895972,142.84348809028245,159.04120507468943,175.17981931066615,196.4716563180297,45.88833168479681,65.725402437158,78.85926935570114,95.45394502448664,107.76482341894474,119.98480021978716,132.16018837795977,148.22330113192217,37.57247869297712,53.81468865811088,64.56844493635124,78.15584450156317,88.23575368947675,98.24123441019864,108.21020681246245,121.36237294124535,23.20887021017919,33.24183465970668,39.88453012233611,48.27759344881268,54.50404728446039,60.68452596235739,66.84245311173775,74.96666868878172,17.509372204439437,25.07850018308779,30.08992151651002,36.42186565630942,41.11926353629324,45.78197656768576,50.42767614245584,56.55679458378257,10.815702372878352,15.491223258688882,18.58682491559154,22.498125815368947,25.39975225883521,28.27995354811368,31.14964546669548,34.93565904248218,6.680960142535935,9.569072962839204,11.481254952868476,13.897301966366644,15.68966365948592,17.468790835211735,19.24142627472598,21.580082140697208,4.12689133699554,5.910905539159478,7.092078173189789,8.584492927515036,9.691651447591004,10.790634882946335,11.88560831235013,13.330217833673665,344.1157771898422,212.56352223487448,160.3634211485523,23.3475828315881,131.30246847115419,14.42201948100433,81.10675832501744,61.18903707709961,37.797038396449764
Phuket Airport,8.110555555555555,98.3125,0.71,4.254,1.197,119.90487594886696,154.57060236532072,177.52232961739685,206.5218978442444,228.0354341771084,249.39011793468853,270.6668820383356,298.7375321396983,73.30026541337786,94.492122099483,108.52297518997848,126.25099526488998,139.4026532829656,152.45720152266264,165.46411590869843,182.624269626162,54.96430656690339,70.85504995027429,81.37610476927128,94.6694854238496,104.5312745878033,114.3202458485838,124.07349879755688,136.94106406956084,44.80992842995731,57.76493720171238,66.34228026112238,77.17977595478256,85.21964936044809,93.20015760291196,101.15154631134185,111.64189386452094,27.39321166948237,35.31286943058327,40.556371980591855,47.18155135278349,52.09648787943949,56.97513328628442,61.83597733554056,68.24893805829318,20.54083809331899,26.47940454503964,30.411252267795803,35.379152288624454,39.06462431910755,42.72288340262924,46.36779411325896,51.176561682913,12.557027995221674,16.187393263033947,18.591010958830704,21.62798828933689,23.880991562725,26.11735901359824,28.3455663353018,31.28526279366101,7.676364097532453,9.89567949711327,11.365059400640533,13.221624803997832,14.598931077906016,15.966067538484598,17.32821554776617,19.12531119485552,4.692715965936252,6.04942816415114,6.947689690792997,8.082645510950126,8.924620573549191,9.760378624451564,10.593087134614423,11.69168789511269,319.95266437434657,195.59350720948413,146.6660650153094,20.483513504158655,119.57024998468464,12.521984319416886,73.09570182249244,54.810914272094585,33.50701572309494
Nakhon Si Thammarat,8.537777777777778,99.96388888888887,0.546,6.685,3.048,94.30470317554692,136.0616402660686,163.70836601097784,198.64007727971972,224.55441619920265,250.27740770789973,275.90654034145564,309.7193142695481,64.59084628786381,93.19086107233578,112.12655942905566,136.0518645003344,153.80102255329084,171.4191236092846,188.97293917396289,212.1318656093733,51.76368043239365,74.6839874224463,89.85922501157847,109.03317793422192,123.25751153874866,137.3768148967453,151.44459928850844,170.00436953547523,44.23933572450114,63.82795746413737,76.79732951799471,93.1841654891822,105.34085652296277,117.407784458396,129.4306822007606,145.29261280667137,30.30025054359525,43.716820589107336,52.5997573735161,63.82337154882545,72.1496897014876,80.4145276278997,88.64920854902199,99.51330638397287,24.28289109527937,35.035050019464315,42.15391480349309,51.14861932985812,57.82140497679002,64.44491982193779,71.04426657401454,79.7508514979579,16.63175253561292,23.996083485702727,28.87191136624176,35.03253281887194,39.60283374257603,44.13938828166349,48.65938969527518,54.62267328111948,11.391361568954252,16.435313274361334,19.77484819206032,23.994359413508423,27.124633880336894,30.231794891864144,33.32761839479228,37.4119696571807,7.802131381932913,11.256817079643003,13.544119613648334,16.434132428885533,18.57810902938842,20.706254843215014,22.826635410446755,25.62407494093858,335.27420763733363,229.63483347672127,184.0314041289837,40.4988255658052,157.28068412265677,27.738313454956284,107.72413411138088,86.3310820877968,59.12958171998928
Takua Pa,8.684166666666666,98.25222222222222,0.653,6.073,0.888,126.037218505784,145.86297009574778,158.98934274387102,175.574549382114,187.8784031087902,200.0914071108949,212.2598479129012,228.3137949495992,80.15418877564427,92.76250443351526,101.1103064847708,111.65777650612634,119.48249230014126,127.24943162098542,134.9880306849159,145.19764270769022,61.5089949704814,71.18440727559452,77.59037210698301,85.68432565332587,91.68888276719882,97.64910317388332,103.5875757374845,111.42226265967578,50.974577624360855,58.99291796354824,64.30175696690453,71.00948912110456,75.98566801734428,80.92510358972916,85.84651599142258,92.33938515420868,32.417614146842254,37.51692983179681,40.89312052133504,45.15894640767459,48.32357973867968,51.4648459139238,54.59465013655529,58.72383250617124,24.87673939404921,28.789869669707045,31.380702404892745,34.6542264339643,37.08271356125661,39.493269120802665,41.89502896803012,45.0636950288372,15.82052420033072,18.309104847676352,19.95676177476621,22.03858066999808,23.58299285195429,25.116001336786624,26.643416131168152,28.65854991955188,10.061165251951058,11.643794298795685,12.691632436904056,14.015578702169028,14.997757673170694,15.972684388823946,16.94405376065716,18.225591198544016,6.398463473476518,7.40494670824245,8.071326186653453,8.913298424163502,9.53792152824702,10.157932513377602,10.775681182571102,11.590683250509668,240.44698773429533,152.91382556578137,117.3435333987274,19.194146829077916,97.24654182401765,12.206642502625062,61.8445707034005,47.4584977585467,30.181540289803145
Surat Thani,9.135555555555555,99.15194444444444,0.748,3.018,2.058,114.64185818245004,185.53069203367875,232.4652682841533,291.7672297977774,335.7608125178242,379.429553528776,422.9389546391281,480.3413476317353,68.26102102024898,110.47024768786444,138.41642848782442,173.72650201246293,199.9215316675989,225.9231413356173,251.82987549763263,286.0088919302256,50.40301528211325,81.5697377391786,102.20481991175912,128.27730093935693,147.61935677575548,166.81859390799687,185.9477762489753,211.18510000756004,40.64455221330479,65.77712555506896,82.41707596468103,103.44169741887924,119.03896266094782,134.52106014478483,149.94666605554153,170.2978239671971,24.20092169629304,39.16557024939668,49.07346970858664,61.59212694060544,70.8791820130452,80.09766292862693,89.2825071558416,101.40016505164316,17.869633472632096,28.91932769695071,36.23518673906868,45.47879403275108,52.33622997123715,59.14303167917095,65.92499651105946,74.87251131492282,10.640087708262715,17.219389733471893,21.575460158119306,27.07936668738013,31.162478965593948,35.21544218367501,39.2536168197784,44.58122146426596,6.335410662614332,10.25291410299491,12.846642253748676,16.12382464806609,18.55502575968465,20.96827526392271,23.37271922609051,26.544926466888825,3.772283590557065,6.104876492751084,7.649255959609012,9.600583510054602,11.048189758031944,12.4851071087062,13.916781389337082,15.805603749491992,523.7247161510231,311.84058270508484,230.25887132577438,28.94240553653023,185.67874691215653,17.233130935137805,110.55840377092304,81.6348309993614,48.60769882117059
Samui,9.466666666666669,100.05,0.71,5.75,1.225,158.39179971460135,193.8684203162353,217.35703007713192,247.03495077712208,269.05172772595955,290.90593624979886,312.68040243774163,341.40767593328843,96.82809699360334,118.51566962558228,132.87472980591392,151.0174404088935,164.47673955019897,177.8366573393626,191.1478270326741,208.70938785463971,72.6066839926469,88.86914067153523,99.63630203600584,113.24063896320584,123.33311325380176,133.35106629846015,143.33246551524547,156.50102646612677,59.19296569832687,72.4510156109417,81.22899827408058,92.32000263893748,100.54794325877066,108.71513005661376,116.85251616173208,127.5882519617692,36.18585200940973,44.29076492281708,49.65692250323523,56.43707683150152,61.466982633634856,66.4597484008738,71.43429640449853,77.99726790439155,27.134011753070656,33.21149203991928,37.23531280882178,42.31942101727216,46.09110291981334,49.83493531523026,53.565107095114485,58.48636045587155,16.58756783233708,20.302853925127412,22.76269659626445,25.8707143321626,28.17641943650715,30.465099576289703,32.74542870668808,35.753889994482606,10.140314270382314,12.411543480479642,13.915294843738534,15.815288677583723,17.224812642109647,18.62392890293568,20.017940023545474,21.85707299571294,6.198978327712539,7.587426483780407,8.506699975957746,9.668204470270595,10.529874855971396,11.38518280280131,12.237369874605406,13.36166889850714,363.11906857108625,221.9819994165191,166.45351281411507,23.24704611926878,135.70206670462676,14.211387461391551,82.95740625956623,62.2057271407065,38.02761375267523
